Дата,Час,"Объем полного планового потребления, МВт.ч","Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.","Объем покупки по регулируемым договорам, МВт.ч","Объем покупки на РСВ, МВт.ч","Объем продажи в обеспечение РД, МВт.ч","Максимальный индекс равновесной цены, руб./МВт.ч","Минимальный индекс равновесной цены, руб./МВт.ч"
2021.11.26,0,24 269.414,661.16,1 874.616,21 729.929,16.663,1 154.28,474.91
2021.11.26,1,24 678.319,686.21,1 936.600,22 131.116,22.165,1 154.77,474.92
2021.11.26,2,25 449.092,794.57,4 670.702,20 197.928,20.788,1 120.89,475.62
2021.11.26,3,26 215.255,693.37,4 727.264,20 919.363,29.016,1 168.12,475.62
2021.11.26,4,26 869.175,964.02,3 942.906,22 356.844,22.777,1 276.81,475.62
2021.11.26,5,27 259.968,1 025.68,3 942.906,22 736.160,19.667,1 394.62,475.62
2021.11.26,6,27 375.839,1 050.21,3 942.906,22 847.698,14.659,1 526.49,475.62
2021.11.26,7,27 236.668,1 067.82,3 942.906,22 715.588,21.477,1 792.32,475.62
2021.11.26,8,27 097.553,966.72,3 942.906,22 586.233,16.033,1 747.73,475.62
2021.11.26,9,27 086.923,821.07,3 942.906,22 524.435,16.742,1 733.48,474.92
2021.11.26,10,27 062.446,819.50,3 942.906,22 509.171,23.388,1 733.37,474.91
2021.11.26,11,27 137.505,819.79,3 942.906,22 602.219,30.099,1 734.09,474.91
2021.11.26,12,27 312.293,824.82,3 942.906,22 781.609,27.995,1 726.32,474.87
2021.11.26,13,27 639.089,843.41,3 928.789,23 137.720,22.905,1 751.32,474.87
2021.11.26,14,27 784.087,843.48,7 200.318,20 023.736,23.962,1 753.99,475.60
2021.11.26,15,27 417.173,836.07,7 200.318,19 642.288,23.394,1 761.36,474.85
2021.11.26,16,26 887.348,1 007.87,7 200.318,19 147.809,24.619,1 705.28,475.61
2021.11.26,17,26 460.989,789.30,7 095.889,18 840.345,33.701,1 597.50,475.60
2021.11.26,18,26 018.959,1 007.63,1 874.616,23 607.905,33.386,1 576.47,475.58
2021.11.26,19,25 365.080,985.12,1 874.616,22 929.717,37.350,1 653.51,475.58
2021.11.26,20,25 019.768,882.86,1 874.616,22 585.114,41.135,1 515.72,414.15
2021.11.26,21,24 709.807,832.11,1 874.616,22 254.397,37.530,1 443.40,475.57
2021.11.26,22,24 543.884,796.02,1 874.616,22 080.514,31.395,1 346.25,475.57
2021.11.26,23,24 403.810,716.20,1 874.616,21 930.697,25.702,1 109.45,475.57
2021.11.27,0,24 284.653,943.38,1 874.616,21 791.676,23.532,1 213.75,767.53
2021.11.27,1,24 487.594,945.02,1 936.600,21 980.672,63.802,1 202.24,767.55
2021.11.27,2,24 893.818,1 004.01,4 670.702,19 640.108,51.621,1 230.23,767.15
2021.11.27,3,25 444.093,994.60,4 727.264,20 153.915,64.791,1 228.05,767.30
2021.11.27,4,26 173.868,1 091.83,3 942.906,21 638.049,22.999,1 342.44,770.21
2021.11.27,5,26 818.421,1 113.52,3 942.906,22 276.098,14.871,1 382.24,770.22
2021.11.27,6,27 102.315,1 153.23,3 942.906,22 557.712,13.536,1 480.83,770.20
2021.11.27,7,27 131.645,1 248.72,3 942.906,22 598.726,22.505,1 686.24,770.19
2021.11.27,8,26 992.217,1 252.06,3 942.906,22 455.174,17.752,1 705.43,770.22
2021.11.27,9,26 894.364,1 255.03,3 942.906,22 360.546,20.616,1 745.85,770.22
2021.11.27,10,26 816.578,1 207.80,3 942.906,22 291.848,28.833,1 711.08,770.22
2021.11.27,11,26 932.890,1 207.72,3 942.906,22 407.957,29.319,1 701.68,770.26
2021.11.27,12,27 207.527,1 181.11,3 942.906,22 708.790,24.381,1 676.92,770.21
2021.11.27,13,27 597.058,1 214.07,3 928.789,23 116.452,20.916,1 706.99,770.24
2021.11.27,14,27 574.244,1 211.84,7 200.318,19 820.644,18.166,1 748.04,767.01
2021.11.27,15,27 242.645,1 193.58,7 200.318,19 486.940,17.275,1 732.48,770.20
2021.11.27,16,26 808.142,1 129.14,7 200.318,19 048.132,14.558,1 618.75,767.08
2021.11.27,17,26 430.119,1 085.34,7 095.889,18 771.910,18.759,1 607.00,767.25
2021.11.27,18,25 908.640,1 121.37,1 874.616,23 466.271,13.812,1 613.46,767.13
2021.11.27,19,25 299.261,1 103.91,1 874.616,22 851.325,18.398,1 562.40,767.18
2021.11.27,20,24 803.797,1 050.03,1 874.616,22 337.407,22.925,1 458.81,767.33
2021.11.27,21,24 474.673,989.95,1 874.616,22 015.311,23.785,1 351.23,767.48
2021.11.27,22,24 323.713,955.67,1 874.616,21 842.161,19.583,1 263.73,767.50
2021.11.27,23,24 308.013,925.43,1 874.616,21 790.653,18.468,1 173.01,767.64
2021.11.28,0,24 261.638,865.54,1 874.616,21 720.733,19.946,1 124.36,695.87
2021.11.28,1,24 451.467,893.51,1 936.600,21 833.675,36.117,1 129.54,695.87
2021.11.28,2,24 772.467,907.23,4 670.702,19 446.744,21.358,1 114.32,697.98
2021.11.28,3,25 213.652,886.23,4 727.264,19 862.396,40.445,1 097.28,697.99
2021.11.28,4,25 826.557,969.31,3 942.906,21 239.381,21.139,1 250.00,695.48
2021.11.28,5,26 472.067,1 031.92,3 942.906,21 885.323,16.718,1 264.18,697.99
2021.11.28,6,26 828.650,1 092.21,3 942.906,22 244.942,17.984,1 374.93,697.99
2021.11.28,7,26 892.177,1 096.97,3 942.906,22 311.694,22.327,1 401.31,697.99
2021.11.28,8,26 808.513,1 116.82,3 942.906,22 221.675,18.883,1 467.45,697.99
2021.11.28,9,26 760.769,1 141.83,3 942.906,22 179.935,16.843,1 583.87,697.99
2021.11.28,10,26 714.160,1 138.35,3 942.906,22 134.368,17.469,1 584.48,697.99
2021.11.28,11,26 838.386,1 145.24,3 942.906,22 259.804,17.774,1 591.99,697.99
2021.11.28,12,27 157.906,1 128.74,3 942.906,22 611.280,21.372,1 577.84,697.99
2021.11.28,13,27 615.799,1 170.68,3 928.789,23 083.868,16.655,1 630.17,697.99
2021.11.28,14,27 671.356,1 189.98,7 200.318,19 863.721,12.883,1 691.80,697.99
2021.11.28,15,27 364.270,1 140.98,7 200.318,19 556.911,13.540,1 636.69,697.99
2021.11.28,16,26 995.056,1 149.07,7 200.318,19 187.921,11.867,1 678.55,697.99
2021.11.28,17,26 622.028,1 109.84,7 095.889,18 915.032,15.028,1 620.81,697.99
