Дата,День,"Объем планового производства, МВт.ч","Индекс равновесных цен на продажу электроэнергии, руб./МВт.ч.","Объем продажи по регулируемым договорам, МВт.ч","Объем продажи на РСВ, МВт.ч","Объем покупки в обеспечение РД, МВт.ч","Максимальный индекс равновесной цены за период, руб./МВт.ч","Минимальный индекс равновесной цены за период, руб./МВт.ч"
2021.11.26,0,95 891.634,965.90,8 403.485,80 254.950,413.563,5 004.48,783.50
2021.11.26,1,94 189.574,916.90,8 403.485,78 608.170,460.792,5 004.48,715.17
2021.11.26,2,93 568.553,876.99,8 403.485,77 987.151,460.792,5 004.48,671.24
2021.11.26,3,93 697.701,862.57,8 403.485,78 115.913,460.792,5 004.48,643.88
2021.11.26,4,95 701.133,948.76,8 403.485,80 115.490,460.792,5 004.48,705.40
2021.11.26,5,98 876.713,1 028.70,8 403.485,83 229.782,398.622,5 004.48,778.03
2021.11.26,6,103 634.288,1 342.39,21 493.376,75 443.134,997.557,5 004.48,1 052.57
2021.11.26,7,107 689.890,1 547.11,21 493.376,79 232.858,883.695,5 004.48,1 173.50
2021.11.26,8,111 297.933,1 652.92,18 069.057,86 120.627,724.687,5 004.48,1 290.59
2021.11.26,9,113 547.599,1 675.17,18 069.057,88 335.172,724.687,5 004.48,1 318.82
2021.11.26,10,113 768.790,1 671.80,18 069.057,88 464.465,725.812,5 004.48,1 305.62
2021.11.26,11,113 071.021,1 669.01,18 069.057,87 740.178,726.685,5 004.48,1 307.41
2021.11.26,12,112 352.092,1 666.11,18 069.057,87 017.821,736.641,5 004.48,1 304.15
2021.11.26,13,112 478.231,1 668.65,18 069.057,87 142.934,736.641,5 004.48,1 310.76
2021.11.26,14,112 529.773,1 671.82,18 069.057,87 206.462,727.722,5 004.48,1 317.46
2021.11.26,15,112 054.615,1 656.97,18 069.057,86 799.978,724.962,5 004.48,1 317.74
2021.11.26,16,112 319.440,1 653.26,18 069.057,87 133.215,745.501,5 004.48,1 271.66
